City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,San Vicente,AR,-26.6167,-54.1333,55.67,85,5,1.99,clear sky
1,Saint-Philippe,RE,-21.3585,55.7679,73.22,87,62,9.06,light rain
2,Punta Arenas,CL,-53.15,-70.9167,46.11,93,75,8.05,broken clouds
3,Taoudenni,ML,22.6783,-3.9836,76.91,22,3,9.4,clear sky
4,Bluff,NZ,-46.6,168.3333,60.8,67,11,5.39,few clouds
5,East London,ZA,-33.0153,27.9116,64.26,80,39,8.97,scattered clouds
6,Dingle,PH,10.9995,122.6711,80.78,78,72,10.87,broken clouds
7,Rikitea,PF,-23.1203,-134.9692,78.55,63,3,11.43,clear sky
8,Itoman,JP,26.1247,127.6694,70.57,67,75,1.14,broken clouds
9,Khatanga,RU,71.9667,102.5,5.9,96,97,12.37,overcast clouds
10,Kodiak,US,57.79,-152.4072,40.51,70,100,11.5,overcast clouds
11,Ixtapa,MX,20.7,-105.2,78.22,69,75,8.05,broken clouds
12,Caravelas,BR,-17.7125,-39.2481,78.03,62,100,10.83,overcast clouds
13,Mar Del Plata,AR,-38.0023,-57.5575,64.09,90,0,11.99,clear sky
14,Hay River,CA,60.8156,-115.7999,15.85,68,50,1.14,scattered clouds
15,Along,IN,28.1667,94.7667,62.71,94,98,1.72,overcast clouds
16,Nioro,GM,13.35,-15.75,78.69,44,8,8.46,clear sky
17,Pitimbu,BR,-7.4706,-34.8086,79.39,78,64,9.13,broken clouds
18,Carnarvon,AU,-24.8667,113.6333,66.27,82,94,12.66,overcast clouds
19,Rawson,AR,-43.3002,-65.1023,60.6,74,0,24.67,clear sky
20,Katsuura,JP,35.1333,140.3,62.87,68,90,11.41,overcast clouds
21,Hamilton,US,39.1834,-84.5333,49.32,49,0,12.66,clear sky
22,Busselton,AU,-33.65,115.3333,58.26,69,50,3.44,scattered clouds
23,Mogadishu,SO,2.0371,45.3438,82.36,82,100,12.37,overcast clouds
24,Upernavik,GL,72.7868,-56.1549,-2.56,89,100,13.13,overcast clouds
25,Piacabucu,BR,-10.4056,-36.4344,79.95,79,19,10.25,few clouds
26,Port Elizabeth,ZA,-33.918,25.5701,63.32,99,75,9.22,moderate rain
27,Barrow,US,71.2906,-156.7887,6.82,78,0,9.22,clear sky
28,Rodeo,US,38.033,-122.2669,70.52,52,0,9.22,clear sky
29,Cape Town,ZA,-33.9258,18.4232,62.35,80,66,13.0,broken clouds
30,Cidreira,BR,-30.1811,-50.2056,67.35,73,98,11.12,overcast clouds
31,Matata,NZ,-37.8833,176.75,69.58,68,100,10.74,overcast clouds
32,Grindavik,IS,63.8424,-22.4338,39.67,81,75,9.22,broken clouds
33,Goure,NE,13.9835,10.2704,79.66,35,99,6.55,overcast clouds
34,Kapaa,US,22.0752,-159.319,82.38,84,75,19.57,broken clouds
35,Ushuaia,AR,-54.8,-68.3,46.06,93,100,14.97,moderate rain
36,Licheng,CN,23.2955,113.8284,64.98,88,100,4.25,overcast clouds
37,Coquimbo,CL,-29.9533,-71.3436,59.23,82,9,1.81,clear sky
38,Georgetown,MY,5.4112,100.3354,82.33,89,40,0.0,scattered clouds
39,Kaitangata,NZ,-46.2817,169.8464,57.06,56,2,2.13,clear sky
40,Hofn,IS,64.2539,-15.2082,44.8,82,9,0.49,clear sky
41,Pangody,RU,65.85,74.4859,9.37,96,99,9.04,overcast clouds
42,Manokwari,ID,-0.8667,134.0833,82.9,68,93,2.98,overcast clouds
43,Pemba,MZ,-12.974,40.5178,77.2,87,7,13.49,clear sky
44,Avarua,CK,-21.2078,-159.775,80.65,74,75,3.44,broken clouds
45,Kati,ML,12.7441,-8.0726,83.55,31,41,2.93,scattered clouds
46,Mataura,NZ,-46.1927,168.8643,60.48,52,3,2.8,clear sky
47,Bredasdorp,ZA,-34.5322,20.0403,59.7,93,83,4.59,broken clouds
48,Otavi,NA,-19.65,17.3333,67.53,67,65,2.13,light rain
49,Ribeira Grande,PT,38.5167,-28.7,58.1,70,53,19.48,broken clouds
50,Ostrovnoy,RU,68.0531,39.5131,33.03,90,100,9.15,overcast clouds
51,Albany,US,42.6001,-73.9662,42.64,58,59,5.01,broken clouds
52,Gorontalo,ID,0.5412,123.0595,82.58,71,92,2.51,overcast clouds
53,Narsaq,GL,60.9167,-46.05,34.02,92,85,3.65,overcast clouds
54,Butaritari,KI,3.0707,172.7902,81.81,73,43,12.62,scattered clouds
55,Yulara,AU,-25.2406,130.9889,72.91,30,5,7.96,clear sky
56,Cherskiy,RU,68.75,161.3,13.75,83,100,4.61,overcast clouds
57,Laguna,US,38.421,-121.4238,74.95,24,0,10.36,clear sky
58,Vaini,TO,-21.2,-175.2,81.28,79,89,13.2,overcast clouds
59,Lompoc,US,34.6391,-120.4579,70.7,66,0,28.01,clear sky
60,Tasiilaq,GL,65.6145,-37.6368,33.19,97,100,9.44,light snow
61,Boa Vista,BR,2.8197,-60.6733,85.98,58,40,6.91,scattered clouds
62,Midland,US,31.9974,-102.0779,91.06,6,0,10.36,clear sky
63,New Norfolk,AU,-42.7826,147.0587,55.89,57,100,1.01,overcast clouds
64,Sorland,NO,67.667,12.6934,43.02,84,100,18.41,overcast clouds
65,Tiksi,RU,71.6872,128.8694,1.9,98,83,4.0,broken clouds
66,Khasan,RU,42.4308,130.6434,46.99,42,81,9.64,broken clouds
67,Gawler,AU,-34.6,138.7333,64.26,87,100,3.06,overcast clouds
68,Znamenskoye,RU,57.1281,73.8282,30.7,90,36,1.95,scattered clouds
69,Port Hardy,CA,50.6996,-127.4199,49.17,57,78,16.53,broken clouds
70,Lytkarino,RU,55.5814,37.9058,34.18,71,0,6.71,clear sky
71,Union De Reyes,CU,22.7953,-81.5375,77.18,69,22,9.78,few clouds
72,Umm Kaddadah,SD,13.6017,26.6876,84.78,16,24,9.73,few clouds
73,Neenah,US,44.1858,-88.4626,39.34,54,75,8.05,broken clouds
74,Airai,TL,-8.9266,125.4092,68.5,71,70,1.9,broken clouds
75,Port Alfred,ZA,-33.5906,26.891,60.19,94,16,3.0,few clouds
76,Drummondville,CA,45.8834,-72.4824,42.03,62,93,5.01,overcast clouds
77,Rincon,US,32.296,-81.2354,71.91,86,100,10.36,overcast clouds
78,Ahipara,NZ,-35.1667,173.1667,70.57,88,97,12.44,light rain
79,Terekli-Mekteb,RU,44.1671,45.8698,50.88,76,44,12.59,scattered clouds
80,Fortuna,US,40.5982,-124.1573,59.94,50,0,8.05,clear sky
81,Marzuq,YE,14.4,46.4667,72.28,42,3,4.38,clear sky
82,Constitucion,CL,-35.3333,-72.4167,51.66,93,58,6.67,broken clouds
83,Vila Velha,BR,-20.3297,-40.2925,75.15,81,75,11.5,broken clouds
84,Kruisfontein,ZA,-34.0033,24.7314,59.88,84,50,4.9,scattered clouds
85,Urucara,BR,-2.5364,-57.76,74.52,97,100,1.43,light rain
86,Coolum Beach,AU,-26.5333,153.1,77.34,71,69,8.14,broken clouds
87,Carson City,US,39.1638,-119.7674,68.83,12,0,11.5,clear sky
88,Gobabis,NA,-22.45,18.9667,64.33,68,63,7.02,broken clouds
89,Soavinandriana,MG,-19.1667,46.7333,56.97,92,43,5.3,scattered clouds
90,San Policarpo,PH,12.1791,125.5072,82.72,67,83,11.5,broken clouds
91,Hilo,US,19.7297,-155.09,77.29,88,100,3.44,light rain
92,Vardo,NO,70.3705,31.1107,39.76,92,100,11.03,overcast clouds
93,Wahpeton,US,46.2652,-96.6059,33.82,86,100,26.46,overcast clouds
94,Bethel,US,41.3712,-73.414,44.96,44,20,5.75,few clouds
95,Abu Samrah,SY,35.3029,37.1841,70.75,16,82,17.96,broken clouds
96,Labuhan,ID,-6.8844,112.2051,81.54,83,73,3.24,broken clouds
97,Chokurdakh,RU,70.6333,147.9167,10.83,91,78,4.45,broken clouds
98,Kungurtug,RU,50.5994,97.5228,34.63,73,30,2.08,scattered clouds
99,Cap Malheureux,MU,-19.9842,57.6142,75.47,91,11,3.0,few clouds
100,Acarau,BR,-2.8856,-40.12,78.28,86,90,6.91,overcast clouds
101,Saint-Augustin,CA,51.226,-58.6502,35.76,99,100,15.39,overcast clouds
102,Bubaque,GW,11.2833,-15.8333,75.16,76,3,16.91,clear sky
103,Hinton,CA,53.4001,-117.5857,35.2,69,100,4.0,light snow
104,Elko,US,41.0002,-115.5012,62.62,17,98,7.0,overcast clouds
105,Fereydun Kenar,IR,36.6864,52.5225,53.91,69,25,3.78,scattered clouds
106,Vestmannaeyjar,IS,63.4427,-20.2734,42.69,70,21,4.7,few clouds
107,Faya,SA,18.3851,42.4509,62.71,37,41,3.04,scattered clouds
108,Maarianhamina,AX,60.0973,19.9348,31.86,100,0,2.3,clear sky
109,Gweta,BW,-20.1833,25.2333,67.59,81,49,12.48,scattered clouds
110,Ballyshannon,IE,54.5,-8.1833,45.72,88,62,13.4,broken clouds
111,Nizwa,OM,22.9333,57.5333,79.74,30,1,3.24,clear sky
112,Saskylakh,RU,71.9167,114.0833,28.24,97,100,11.79,light snow
113,Isangel,VU,-19.55,169.2667,82.8,71,100,1.86,moderate rain
114,Yenotayevka,RU,47.2456,47.0281,53.65,69,100,8.72,overcast clouds
115,Tessalit,ML,20.1986,1.0114,72.77,23,0,9.44,clear sky
116,Hobart,AU,-42.8794,147.3294,56.26,86,75,1.01,broken clouds
117,Lewistown,US,40.5992,-77.5714,44.17,42,0,5.75,clear sky
118,Puerto Ayora,EC,-0.7393,-90.3518,74.41,95,93,9.37,light rain
119,Wellingborough,GB,52.3027,-0.6945,51.46,73,100,7.47,overcast clouds
120,Milkovo,RU,54.7167,158.6167,35.19,57,50,4.61,scattered clouds
121,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,12.66,broken clouds
122,Wenling,CN,28.3669,121.36,57.15,74,100,4.21,overcast clouds
123,Kandrian,PG,-6.2167,149.55,85.53,68,100,5.97,overcast clouds
124,Dikson,RU,73.5069,80.5464,-7.26,100,93,2.46,overcast clouds
125,Clyde River,CA,70.4692,-68.5914,-14.57,76,75,3.44,broken clouds
126,Paamiut,GL,61.994,-49.6678,25.84,84,97,1.12,overcast clouds
127,Nikolskoye,RU,59.7035,30.7861,39.7,74,100,3.27,overcast clouds
128,Tommot,RU,58.9564,126.2925,28.62,69,100,4.7,overcast clouds
129,Walvis Bay,NA,-22.9575,14.5053,63.84,68,5,5.86,clear sky
130,Pauini,BR,-7.7136,-66.9764,74.32,99,100,2.86,overcast clouds
131,Caarapo,BR,-22.6342,-54.8222,62.96,78,57,5.64,broken clouds
132,Antofagasta,CL,-23.65,-70.4,60.31,85,43,4.36,scattered clouds
133,Tuatapere,NZ,-46.1333,167.6833,59.49,61,10,3.18,clear sky
134,Cabo San Lucas,MX,22.8909,-109.9124,88.9,49,49,9.73,scattered clouds
135,Tammisaari,FI,59.9736,23.4339,34.9,89,69,5.37,broken clouds
136,Mao,ES,39.8885,4.2658,50.56,81,0,4.61,clear sky
137,Nishihara,JP,26.1842,127.7558,70.88,69,100,2.3,overcast clouds
138,Saint-Leu,RE,-21.15,55.2833,74.23,81,4,3.04,clear sky
139,Bengkulu,ID,-3.8004,102.2655,76.98,89,96,3.85,overcast clouds
140,Pisco,PE,-13.7,-76.2167,65.01,82,0,14.97,clear sky
141,Mentakab,MY,3.4865,102.3516,75.43,97,97,0.76,overcast clouds
142,Benemerito De Las Americas,MX,16.5167,-90.6439,82.38,57,13,0.67,few clouds
143,Makakilo City,US,21.3469,-158.0858,80.92,60,75,18.41,broken clouds
144,Kinsale,IE,51.7075,-8.5306,40.37,87,40,5.75,scattered clouds
145,Nuuk,GL,64.1835,-51.7216,23.88,85,100,4.0,overcast clouds
146,Nanortalik,GL,60.1432,-45.2371,29.41,89,58,9.44,broken clouds
147,Deputatskiy,RU,69.3,139.9,6.67,94,98,3.69,overcast clouds
148,Berbera,SO,10.4396,45.0143,81.18,80,10,0.47,clear sky
149,Parana,AR,-31.732,-60.5238,65.57,81,19,5.97,few clouds
150,Sobolevo,RU,54.4299,31.8996,31.64,95,99,11.45,snow
151,Thompson,CA,55.7435,-97.8558,32.16,29,75,0.0,broken clouds
152,Hami,CN,42.8,93.45,53.91,19,0,6.15,clear sky
153,Palmer,US,42.1584,-72.3287,43.41,54,20,6.91,few clouds
154,Rapid Valley,US,44.0625,-103.1463,45.32,37,0,35.68,clear sky
155,Dzaoudzi,YT,-12.7887,45.2699,78.69,89,0,4.61,clear sky
156,Olafsvik,IS,64.8945,-23.7142,41.97,69,97,9.8,overcast clouds
157,Atuona,PF,-9.8,-139.0333,79.65,78,8,17.07,clear sky
158,Tuktoyaktuk,CA,69.4541,-133.0374,15.49,83,99,8.61,overcast clouds
159,Talnakh,RU,69.4865,88.3972,4.21,96,100,4.56,light snow
160,Nara,JP,34.6851,135.8049,65.52,52,98,3.49,overcast clouds
161,Hualmay,PE,-11.0964,-77.6139,66.67,83,14,11.34,few clouds
162,Ilhabela,BR,-23.7781,-45.3581,69.76,73,93,0.65,overcast clouds
163,Sao Filipe,CV,14.8961,-24.4956,71.51,78,1,8.88,clear sky
164,Melfort,CA,52.8667,-104.6177,30.33,29,100,4.56,overcast clouds
165,Chuy,UY,-33.6971,-53.4616,62.26,78,100,6.87,overcast clouds
166,Bonthe,SL,7.5264,-12.505,78.37,80,100,6.02,overcast clouds
167,Esperance,AU,-33.8667,121.9,61.45,62,71,7.31,broken clouds
168,Sur,OM,22.5667,59.5289,86.04,42,1,9.48,clear sky
169,Sangar,RU,63.9242,127.4739,25.25,83,100,19.37,overcast clouds
170,Ilinskiy,RU,55.619,38.1182,34.3,69,0,0.0,clear sky
171,Kolyubakino,RU,55.668,36.5323,33.98,84,32,6.15,scattered clouds
172,Hermanus,ZA,-34.4187,19.2345,61.81,83,69,12.37,broken clouds
173,Lundazi,ZM,-12.2929,33.1782,63.34,95,78,6.4,broken clouds
174,Hithadhoo,MV,-0.6,73.0833,82.58,76,60,7.31,broken clouds
175,Hirara,JP,24.8,125.2833,75.47,69,40,9.22,scattered clouds
176,Mount Gambier,AU,-37.8333,140.7667,58.96,82,100,7.81,overcast clouds
177,Arraial Do Cabo,BR,-22.9661,-42.0278,73.47,67,1,11.07,clear sky
178,Maralal,KE,1.0968,36.698,61.95,79,100,1.23,overcast clouds
179,Champerico,GT,14.3,-91.9167,88.34,66,89,10.8,overcast clouds
180,Acapulco,MX,16.8634,-99.8901,82.22,69,0,9.22,clear sky
181,Ventspils,LV,57.3894,21.5606,28.33,93,0,3.44,clear sky
182,Anderson,US,34.5334,-82.6499,71.58,74,75,0.0,broken clouds
183,Leh,IN,34.1667,77.5833,34.92,45,27,2.82,scattered clouds
184,Qaanaaq,GL,77.484,-69.3632,-18.72,77,2,4.61,clear sky
185,Buraydah,SA,26.326,43.975,72.05,18,1,9.08,clear sky
186,Soure,BR,-0.7167,-48.5233,77.99,85,100,4.41,light rain
187,Barraute,CA,48.4335,-77.6328,30.47,83,88,5.23,overcast clouds
188,Gunnedah,AU,-30.9833,150.25,69.42,48,27,1.34,scattered clouds
189,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,67,75,6.91,broken clouds
190,Jian,CN,27.1172,114.9793,53.56,95,100,2.3,overcast clouds
191,Jamestown,US,42.097,-79.2353,37.53,56,0,6.91,clear sky
192,Seoul,KR,37.5683,126.9778,56.77,44,100,5.75,overcast clouds
193,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,75,77,10.47,broken clouds
194,Faanui,PF,-16.4833,-151.75,80.96,72,44,9.22,light rain
195,Tshane,BW,-24.0196,21.8684,62.44,88,14,7.54,few clouds
196,Westport,US,41.1415,-73.3579,46.38,41,0,9.22,clear sky
197,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,40,14.92,scattered clouds
198,Hasaki,JP,35.7333,140.8333,64.8,67,73,11.21,broken clouds
199,Karratha,AU,-20.7377,116.8463,83.84,36,13,22.59,few clouds
200,Rocha,UY,-34.4833,-54.3333,58.06,89,100,4.52,overcast clouds
201,Ust-Kulom,RU,61.6864,53.6902,25.68,93,85,4.05,overcast clouds
202,Sitka,US,57.0531,-135.33,46.29,57,75,9.22,broken clouds
203,Cervo,ES,43.6702,-7.4101,53.96,95,56,7.54,broken clouds
204,Lianran,CN,24.9227,102.485,43.34,80,61,2.53,broken clouds
205,Tual,ID,-5.6667,132.75,84.36,71,96,8.41,overcast clouds
206,Asau,RO,46.4333,26.4,34.72,82,81,4.92,broken clouds
207,Otradnoye,RU,59.7775,30.8181,39.87,74,100,3.38,overcast clouds
208,Samarai,PG,-10.6167,150.6667,82.56,78,100,10.58,overcast clouds
209,Maxixe,MZ,-23.8597,35.3472,71.62,94,97,3.44,light rain
210,Kingaroy,AU,-26.5333,151.8333,69.48,55,1,6.6,clear sky
211,Santa Fe,AR,-31.6333,-60.7,66.02,77,24,4.83,light rain
212,San Vito,CR,8.8208,-82.9709,66.85,97,100,1.32,overcast clouds
213,Kawalu,ID,-7.3817,108.2082,75.51,90,100,2.06,overcast clouds
214,Port-Cartier,CA,50.0334,-66.8654,41.22,71,100,15.61,overcast clouds
215,Valera,VE,9.3178,-70.6036,72.79,90,100,3.96,overcast clouds
216,Alghero,IT,40.5589,8.3181,42.89,75,0,3.44,clear sky
217,Lazaro Cardenas,MX,17.9583,-102.2,79.27,58,100,5.97,overcast clouds
218,Raga,SS,8.4596,25.678,79.27,52,20,4.47,few clouds
219,Matara,LK,5.9485,80.5353,79.39,84,98,5.99,overcast clouds
220,Paracuru,BR,-3.41,-39.0306,76.84,90,100,4.56,overcast clouds
221,Yellowknife,CA,62.456,-114.3525,19.92,53,20,9.22,few clouds
222,Akdepe,TM,42.0551,59.3788,53.69,52,100,11.05,overcast clouds
223,Carutapera,BR,-1.195,-46.02,76.37,91,98,3.11,overcast clouds
224,Talara,PE,-4.5772,-81.2719,67.01,84,17,17.29,few clouds
225,Guerrero Negro,MX,27.9769,-114.0611,65.05,65,85,19.04,overcast clouds
226,Manzhouli,CN,49.6,117.4333,46.99,52,99,16.44,overcast clouds
